Date,Month,Year,USA House Price Index
J-06,1,2006,219.52
F-06,2,2006,220.48
M-06,3,2006,222.13
A-06,4,2006,223.58
M-06,5,2006,225.42
J-06,6,2006,226.11
J-06,7,2006,225.90
A-06,8,2006,226.36
S-06,9,2006,225.62
O-06,10,2006,225.30
N-06,11,2006,225.01
D-06,12,2006,224.21
J-07,1,2007,223.96
F-07,2,2007,224.64
M-07,3,2007,226.46
A-07,4,2007,227.60
M-07,5,2007,227.89
J-07,6,2007,227.88
J-07,7,2007,226.52
A-07,8,2007,225.41
S-07,9,2007,223.60
O-07,10,2007,221.32
N-07,11,2007,218.98
D-07,12,2007,216.77
J-08,1,2008,213.77
F-08,2,2008,213.22
M-08,3,2008,212.05
A-08,4,2008,210.98
M-08,5,2008,210.11
J-08,6,2008,209.55
J-08,7,2008,207.45
A-08,8,2008,205.18
S-08,9,2008,202.62
O-08,10,2008,200.31
N-08,11,2008,196.02
D-08,12,2008,194.24
J-09,1,2009,195.10
F-09,2,2009,196.03
M-09,3,2009,194.15
A-09,4,2009,194.50
M-09,5,2009,195.63
J-09,6,2009,196.44
J-09,7,2009,195.60
A-09,8,2009,194.86
S-09,9,2009,193.92
O-09,10,2009,193.87
N-09,11,2009,193.64
D-09,12,2009,190.29
J-10,1,2010,189.47
F-10,2,2010,188.94
M-10,3,2010,189.63
A-10,4,2010,191.28
M-10,5,2010,193.10
J-10,6,2010,192.00
J-10,7,2010,190.55
A-10,8,2010,189.83
S-10,9,2010,187.22
O-10,10,2010,187.04
N-10,11,2010,185.67
D-10,12,2010,182.88
