Year;PopTotal;Avhousehold;Fertility;Birth;Death;SingleCondo;Bedrooms;Bathrooms;TotalRooms;SizeIndoor;SizeTotal;HousesTotal;Year5
1960;609000;;3.654;23.7;9.5;0;2.875;1.844;6.406;1692;1.275;32;
1961;618000;;3.62;23.3;9.3;0;3.25;2.125;6.625;1554;0.515;8;
1962;632000;;3.461;22.4;9.5;0;3.529;2.412;7.647;2181;1.442;17;
1963;649000;;3.319;21.7;9.6;0;2.778;1.333;6;1326;1.056;9;
1964;663000;;3.19;21.1;9.4;0;3.042;2.167;7.375;2045;4.285;24;
1965;676000;;2.913;19.4;9.4;0.02703;3;2.162;7;1975;1.434;37;
1966;681000;;2.721;18.4;9.5;0;3.158;2.053;7.474;1980;6.812;19;
1967;697000;;2.558;17.8;9.4;0;3.091;2;6.636;1843;1.495;11;
1968;709000;;2.464;17.6;9.8;0.05556;2.833;2.056;6.889;1924;3.184;18;
1969;724000;;2.456;17.9;9.5;0.08333;3;1.917;7.083;1857;1.177;12;
1970;737681;3.14;2.48;18.4;9.5;0.0303;3.045;1.985;7.273;1932;3.525;66;
1971;761851;3.11;2.266;17.2;9.3;0.5652;2.413;1.565;5.674;1352;0.769;46;
1972;781107;3.06;2.01;15.6;9.4;0.02857;3.171;2.257;7.771;2078;10.23;35;
1973;800951;3.01;1.879;14.8;9.3;0.0625;2.844;1.969;6.938;1824;1.85;32;
1974;815914;2.97;1.835;14.8;9.1;0.3966;2.862;2.172;6.707;1686;2.166;58;
1975;828555;2.94;1.774;14.6;8.8;0.05882;3.039;2.02;7.039;1796;1.756;51;
1976;845248;2.89;1.738;14.6;8.8;0.04651;3.047;2.326;7.86;2179;3.27;43;
1977;869763;2.86;1.79;15.1;8.6;0.4;2.94;2.46;7.1;1973;1.67;50;
1978;891520;2.81;1.76;15;8.7;0.2917;2.903;2;6.722;1708;14.97;72;
1979;909074;2.78;1.808;15.6;8.5;0.3;2.886;2.329;7.214;1940;1.663;70;
1980;920610;2.76;1.84;15.9;8.8;0.07692;2.954;2.185;7.462;2036;2.3;65;
1981;936621;2.73;1.812;15.8;8.6;0.4359;2.974;2.385;7.59;1881;1.295;39;
1982;947720;2.72;1.828;15.9;8.5;0.3143;3.2;2.629;7.657;2049;3.01;35;
1983;958134;2.73;1.799;15.6;8.6;0.4516;3.226;3.065;7.968;2405;3.647;31;
1984;976863;2.71;1.807;15.6;8.7;0.3462;2.519;2.288;6.635;1824.2;3.144;52;
1985;996753;2.69;1.844;15.8;8.7;0.2963;2.827;2.395;7.333;1959;2.9;81;
1986;1025000;2.67;1.838;15.6;8.7;0.46;2.73;2.25;6.73;1740;2.167;100;
1987;1054000;2.66;1.872;15.7;8.6;0.4298;2.518;2.246;6.509;1792;2.616;114;
1988;1083000;2.64;1.934;16;8.9;0.4;2.905;2.589;6.947;2084;3.533;95;
1989;1105000;2.62;2.014;16.4;8.8;0.08861;3.19;2.861;8.253;2475;6.688;79;
1990;1112000;2.63;2.081;16.7;8.6;0.09302;3.372;2.837;8.116;2494;7.406;43;
1991;1110000;2.63;2.063;16.2;8.6;0;3.103;3.034;8.31;2512;3.01;29;
1992;1118000;2.62;2.046;15.8;8.5;0.09677;3.194;2.935;8.032;2676;12.703;31;
1993;1129000;2.63;2.02;15.4;8.8;0.09091;3.182;3.061;8.515;2749;7.655;33;
1994;1143000;2.67;2.002;15;8.8;0.06452;3.129;2.903;8.129;2652;3.883;31;
1995;1158000;2.65;1.978;14.6;8.8;0;3.243;2.919;8.162;2499;4.265;37;
1996;1175000;2.65;1.976;14.4;8.8;0;2.929;2.893;8.036;2580;8.118;28;
1997;1189000;2.64;1.971;14.2;8.7;0;2.9;2.8;8.05;2631;4.777;20;
1998;1206000;2.62;1.999;14.3;8.6;0.2941;2.971;2.912;8;2557;6.079;34;
1999;1222000;2.61;2.008;14.2;8.6;0.05882;3.206;2.735;7.588;2396;3.968;34;
2000;1240000;2.62;2.056;14.4;8.5;0.06122;3.061;3.082;8.02;2573;3.208;49;
2001;1256000;2.58;2.031;14.1;8.5;0.1111;3.133;3.222;8.267;2704;4.262;45;
2002;1269000;2.58;2.021;14;8.5;0.1667;3.03;3;7.944;2671;4.382;54;
2003;1280000;2.57;2.048;14.1;8.4;0.09259;3.093;2.796;7.593;2351;3.593;54;
2004;1290000;2.57;2.052;14;8.2;0.2157;2.902;2.804;7.333;2326;6.93;51;
2005;1298000;2.57;2.057;14;8.3;0.1455;3.327;2.727;7.473;2237;3.177;55;
2006;1308000;2.57;2.108;14.3;8.1;0.06383;3.043;2.936;7.702;2571;7.903;47;
2007;1313000;2.56;2.12;14.3;8;0.5844;2.662;2.584;6.247;1893;2.745;77;
2008;1316000;2.56;2.072;14;8.1;0.3611;2.667;2.778;6.861;2027;2.623;36;
2009;1316000;2.57;2.002;13.5;7.9;0.7907;2.279;3.116;5.628;1554;3.897;43;
2010;1317000;2.59;1.931;13;8;0.5217;2.826;2.913;6.565;2049;11.25;23;
2011;1318000;2.58;1.895;12.7;8.1;0.2;3.1;2.833;6.433;1985;26.295;30;
2012;1321000;2.55;1.881;12.6;8.1;0.07692;2.846;2.462;6.538;1934;2.877;13;
2013;1323000;2.54;1.858;12.4;8.2;0.6667;2.611;2.5;6.167;1762;6.918;18;
2014;1329000;2.54;1.863;12.5;8.2;0.4;2.7;2.9;6.5;2106;9.874;10;
2015;1330000;2.54;1.843;12.4;8.2;0.1667;2.833;2.667;7.167;2076;2.475;6;
